title,address,opening_hrs,website,phone,plus_code,review,total number of reviews
Sweet Thrills,"399 Roncesvalles Ave, Toronto, ON M6R 2N1, Canada",Closed. Opens at 11:00 am,sweetthrills.ca,+1 416-535-9286,"MG2X+9P Toronto, Ontario, Canada",4.6,50 reviews
The Source,"1 Bass Pro Mills Dr #106, Concord, ON L4K 5W4, Canada",Closed. Opens at 11:00 am,thesource.ca,+1 905-760-8012,"RFG5+38 Vaughan, Ontario, Canada",3.8,123 reviews
Best Buy,"65 Dundas St W, Toronto, ON M5G 2C3, Canada",opening hr not provided,stores.bestbuy.ca,+1 416-642-8321,"MJ48+5X Toronto, Ontario, Canada",3.7,"3,678 reviews"
EB Games,"Fairview Park, 2960 Kingsway Drive, Unit G6, Kitchener, ON N2C 1X1, Canada",opening hr not provided,ebgames.ca,+1 519-894-3604,"CHF6+XJ Kitchener, Ontario, Canada",4.1,333 reviews
Hickory Farms,"25 Peel Centre Dr, Brampton, ON L6T 3R5, Canada",opening hr not provided,hickoryfarms.ca,+1 289-499-0450,"P78H+58 Brampton, Ontario, Canada",3.3,3 reviews
Chuck E. Cheese,"2945 Argentia Rd, Mississauga, ON L5N 0A2, Canada",opening hr not provided,locations.chuckecheese.com,+1 905-567-3383,"H6X8+WG Mississauga, Ontario, Canada",4.0,"1,736 reviews"
Chuck E. Cheese,"4141 Dixie Rd, Mississauga, ON L4W 1V5, Canada",opening hr not provided,locations.chuckecheese.com,+1 905-602-5502,"J9GV+GR Mississauga, Ontario, Canada",4.0,953 reviews
Mattel Canada,"6155 Freemont Blvd, Mississauga, ON, Canada",Closed. Opens at 8:00 am,corporate.mattel.com,+1 905-501-0404,"J8F6+5M Mississauga, Ontario, Canada",4.2,64 reviews
Snakes & Lattes College,"489 College St, Toronto, ON M6G 1A5, Canada",Closed today,snakesandlattes.com,+1 647-342-9229,"MH4R+C9 Toronto, Ontario, Canada",4.5,"2,981 reviews"
Aristocrat Technologies,"1715 Meyerside Dr, Mississauga, ON L5T 1C5, Canada",opening hr not provided,aristocrat.com,+1 289-562-0183,"M972+WC Mississauga, Ontario, Canada",review not available,not available
Mind Games,"17600 Yonge St, Newmarket, ON L3Y 4Z1, Canada",opening hr not provided,mindgames.ca,+1 905-235-8697,"3G47+CQ Newmarket, Ontario, Canada",3.9,13 reviews
